year,region,volume,total_value,cif_price,prop_of_total_imports
2005,Middle East,905312,44565925,49.23,0.2007
2005,Africa,812769,44112138,54.27,0.1802
2005,Australia,3246,187063,57.63,7.000000000000001e-4
2005,FSU,1610423,81451513,50.58,0.35700000000000004
2005,Europe,1044981,56821402,54.38,0.23170000000000002
2005,America,133662,5638768,42.19,0.0296
2005,World,4510392,232776809,51.61,1
2006,Middle East,863299,52135219,60.39,0.1924
2006,Africa,787638,51504759,65.39,0.17559999999999998
2006,Asia,3206,213585,66.62,7.000000000000001e-4
2006,Australia,5425,351898,64.86,0.0012
2006,FSU,1629415,100591793,61.73,0.3632
2006,Europe,1027723,67008668,65.2,0.2291
2006,America,160859,8688093,54.01,0.0359
2006,Other,8353,552432,66.13,0.0019
2006,World,4485918,281046447,62.65,1
2007,Middle East,788319,54149961,68.69,0.179
2007,Africa,808388,59170054,73.2,0.18350000000000002
2007,Asia,13252,1148153,86.64,0.003
2007,Australia,4618,320423,69.39,0.001
2007,FSU,1674741,117169791,69.96,0.38020000000000004
2007,Europe,968072,70799361,73.13,0.2198
2007,America,146961,9047521,61.56,0.0334
2007,World,4404352,311805264,70.79,1
2008,Middle East,743913,70581571,94.88,0.1675
2008,Africa,969344,94761783,97.76,0.2182
2008,Asia,768,75080,97.8,2e-4
2008,Australia,2081,193737,93.12,5e-4
2008,FSU,1602860,154722167,96.53,0.36090000000000005
2008,Europe,977601,95894402,98.09,0.22010000000000002
2008,America,145287,13053182,89.84,0.0327
2008,World,4441852,429281922,96.64,1
2009,Middle East,615029,37134147,60.38,0.1517
2009,Africa,839758,51078445,60.83,0.2071
2009,Australia,1202,69354,57.7,3e-4
2009,FSU,1585025,96824869,61.09,0.3909
2009,Europe,897475,55710922,62.08,0.2214
2009,America,115990,6650576,57.34,0.0286
2009,World,4054480,247468313,61.04,1
2010,Middle East,642855,49977815,77.74,0.1594
2010,Africa,813401,64989220,79.9,0.2016
2010,FSU,1595149,125406508,78.62,0.3954
2010,Europe,858592,69136639,80.52,0.21280000000000002
2010,America,124184,9258106,74.55,0.0308
2010,World,4034181,318768287,79.02,1
2011,Middle East,710457,76951242,108.31,0.18359999999999999
2011,Africa,671530,74568119,111.04,0.1736
2011,Australia,2971,327159,110.12,8e-4
2011,FSU,1589256,176140263,110.83,0.4108
2011,Europe,770743,86947519,112.81,0.19920000000000002
2011,America,123930,12885297,103.97,0.032
2011,World,3868887,427819599,110.58,1
2012,Middle East,591703,64860417,109.62,0.14679999999999999
2012,Africa,968402,109362907,112.93,0.2403
2012,Australia,1622,177421,109.38,4e-4
2012,FSU,1546607,172304045,111.41,0.38380000000000003
2012,Europe,760159,85837922,112.92,0.1886
2012,America,161640,17063627,105.57,0.0401
2012,Other,75,8456,112.17,0
2012,World,4030208,449614795,111.56,1
2013,Middle East,487481,52264517,107.21,0.12890000000000001
2013,Africa,909372,100645457,110.68,0.24050000000000002
2013,Asia,345,37705,109.29,1e-4
2013,FSU,1500267,162824106,108.53,0.3968
2013,Europe,709291,78088120,110.09,0.18760000000000002
2013,America,174230,17884306,102.65,0.0461
2013,World,3780985,411744212,108.9,1
2014,Africa,883259,88961325,100.72,0.2297
2014,America,208664,19179522,91.92,0.054299999999999994
2014,Asia,647,66939,103.46,2e-4
2014,Australia,819,81899,100,2e-4
2014,Europe,756236,75371011,99.67,0.1967
2014,FSU,1462333,145022987,99.17,0.3803
2014,Middle East,532827,51020186,95.75,0.1386
2014,Other,591,47044,79.6,2e-4
2014,World,3845377,379750913,98.76,1
2015,Africa,949662,51016539,53.72,0.23670000000000002
2015,America,197472,8865475,44.89,0.0492
2015,Europe,657422,35082839,53.36,0.16390000000000002
2015,FSU,1559093,80719144,51.77,0.3886
2015,Middle East,648662,32033888,49.38,0.1617
2015,Other,22,836,38.74,0
2015,World,4012332,207718721,51.77,1
2016,Africa,655887,28610888,43.62,0.16570000000000001
2016,America,214571,8058442,37.56,0.0542
2016,Europe,662110,29134440,44,0.1672
2016,FSU,1644667,69323701,42.15,0.4154
2016,Middle East,780493,31729990,40.65,0.1971
2016,Other,1707,72855,42.68,4e-4
2016,World,3959434,166930316,42.16,1
2017,Africa,724137,39859981,55.04,0.1793
2017,America,232522,11777637,50.65,0.0576
2017,Europe,667815,36648885,54.88,0.1654
2017,FSU,1565155,83592252,53.41,0.3876
2017,Middle East,848395,43036130,50.73,0.2101
2017,Other,210,10149,48.29,1e-4
2017,World,4038235,214925035,53.22,1
2018,Africa,804513,58760467,73.04,0.2004
2018,America,335082,22654620,67.61,0.08349999999999999
2018,Europe,623808,44721301,71.69,0.15539999999999998
2018,FSU,1481297,104061127,70.25,0.369
2018,Middle East,769292,52654737,68.45,0.1917
2018,World,4013992,282852252,70.47,1
2019,Africa,842362,55718114,66.15,0.2096
2019,America,461624,28538792,61.82,0.1149
2019,Europe,605578,39621847,65.43,0.1507
2019,FSU,1448152,92717586,64.02,0.3603
2019,Middle East,661493,41301383,62.44,0.1646
2019,World,4019210,257897722,64.17,1
